,'EW','FF','HHB','HLB','JH','SFR','SM','TCC','WOD',H,'CEW','WJB','PS','AJG','BRW','AF','TM','HAB','WEB','LFP','WHR','JPS','SDOC','AS','AMK','DHS','CT','RBG','SGB','JGR','SAA','EK','SS','BMK','NMG','ACB'
1403,-0.048542957214725,-0.70019718553148,-0.901233335452949,0.172895562044448,-1.00145750840981,-0.986846480203742,-0.898773625238736,-0.43598941608017,-0.209113161736878,0.799843587434804,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,0.0178132912804738,-0.47897170590636,-0.959701599960173,0.126465962815672,-0.932103513646443,,,-0.747032681233393,0.412820824091161,0.664409016136098,-0.601684458901482,-0.0727505229107474,,,,,,,,,,,,,,,,,,,,,,,,
1406,-0.119589056716431,-0.571894100643256,,-0.303188593715145,-1.16530325701569,,,-0.612384282979069,-0.0383239256852255,0.643619209201053,-1.13463636578122,-0.18025585723614,-0.850949573634041,,,,,,,,,,,,,,,,,,,,,,,
1408,-0.51684952980476,,,-1.04670781490688,-0.626334106271602,,,-0.696017132600914,-0.541241728343573,1.03057662900248,,-0.237133730879632,-0.664279509356862,-0.7126771153108,-0.363064674225782,,,,,,,,,,,,,,,,,,,,,
1409,1.53011975122587,,,0.202785459264504,0.383545507399846,,,0.868185408651648,0.510340394728119,0.533879186163157,,1.05351667956923,0.086046966675856,,0.283411845784661,0.909815352422527,,,,,,,,,,,,,,,,,,,,
1410,-0.0978525106031824,,,-0.275418905104017,-0.996160955933487,,,,0.209295953934264,0.674304028181964,,-0.0841518392980557,-0.72174931489923,,-0.656526728469268,-0.0624282010483054,-0.140713579939619,,,,,,,,,,,,,,,,,,,
1502,,,,0.441592831355942,0.716473363696537,,,,-0.109917667945659,0.573542655732974,,0.0609237086519477,0.51374673041912,,0.711433198454828,,0.210906839854038,1.22296249189353,1.36153849823202,,,,,,,,,,,,,,,,,
1504,,,,,,,,,-0.760683997713868,0.486129223669814,,-1.40704432482077,-0.378770409618349,,-0.755129337396499,,-1.39687553815121,-0.677423191606625,0.0564425724036351,-0.396006515778438,0.298744591220382,,,,,,,,,,,,,,,
1506,,,,,,,,,,0.356901880459008,,1.55897165859092,0.177870113004016,,0.405974167224011,,1.16863991941883,0.410389093918724,0.223397847293623,0.483116164884346,-0.479220725386936,0.39266625841359,,,,,,,,,,,,,,
1507,,,,,,,,,,0.582091676686163,,0.429570530223581,,,0.587006243014564,,-0.119927442291387,0.17973056175986,0.843788725075669,0.81968656589891,1.35104055334344,0.585562625789133,0.906995660383765,,,,,,,,,,,,,
1601,,,,,,,,,,0.478108757107903,,-0.185773290758092,,,0.776014725985185,,-0.22032501828453,0.175276156215959,,0.812705729048598,1.28839790294943,0.0350515005987507,0.625604164473308,0.948222161027165,,,,,,,,,,,,
1603,,,,,,,,,,0.70050312454194,,0.0722895529667156,,,-0.535963814781022,,0.304815602296913,-0.569469368361133,,,-1.2502361756988,-0.418567419759735,-1.1343561217168,-0.789708320480256,-0.795948780894965,,,,,,,,,,,
1604,,,,,,,,,,0.692261386409429,,,,,-0.766601247561598,,-1.34182601422582,-1.19291039329003,,,-0.120911717820477,-0.984643801650941,-0.317761508314243,-0.257294858887013,-0.232842240855398,-0.258322727558386,,,,,,,,,,
1605,,,,,,,,,,0.692635390723269,,,,,-0.62777923466445,,,-0.316329778166289,,,-1.17461320143633,0.0641382247696691,-0.738347913296479,-0.969062807356743,-0.652670923268716,-0.448634473614145,-1.09324673156794,,,,,,,,,
1607,,,,,,,,,,0.714987162350019,,,,,,,,,,,-1.1413229501985,0.14309837409515,-0.996196358542125,-1.14118618113001,-0.554333075596256,-0.286235999715628,-1.13361009131542,-0.446943506157944,-0.751422411945263,,,,,,,
1702,,,,,,,,,,0.684508147778671,,,,,,,,,,,,-1.05367500769568,,0.197797454423724,-0.642790503979855,-0.85613685945996,0.315589713206128,-0.775430722031921,-1.09149724907671,-0.331966945744628,-0.524038176534983,,,,,
1704,,,,,,,,,,0.874504050807901,,,,,,,,,,,,,,-0.8868949030941,-0.984518929105508,,-1.21899177715241,-0.425152939616118,-0.48612707737824,-0.893489827286335,-1.06344379166879,-0.282205589703882,-0.252409057748189,,,
1707,,,,,,,,,,0.619172989158014,,,,,,,,,,,,,,,,,1.11491545486715,-0.0128030943930364,0.274908342495898,0.687409948298167,1.20232151657543,0.220800816615942,-0.212595460007906,0.674763818137122,0.622987030513807,
1709,,,,,,,,,,0.623636076968264,,,,,,,,,,,,,,,,,-0.203399603973141,,-1.01448400141516,-0.342269568871102,0.0565281915976248,-1.27169027532569,-1.01967266090904,-0.427293276640233,-0.464053213225414,-0.460747703175086
